marchandises_simplification,classification_hamburg_large,obsolete
satin brodé toilette,,non
satin de Chine,,non
satin de Florence,,non
satin de Florence et de Gênes,,non
satin de laine,,non
satin de laine de Roubaix,,non
satin de laine et serge,,non
satin de laine turc,,non
satin de laine turc et serge,,non
satin de retour,,oui
satin de retour faute de vente,,non
satin de soie,,non
satin des Indes,,non
satin gris,,non
satin noir,,non
satin pur coton,,non
satin pur soie,,non
satin rayé,,non
satin soie en fil,,non
satin soie et coton,Coton,non
satin soie et fil,,non
satin turc,,non
satin uni,,non
satin uni et rayé,,non
satinade,,non
satinette,,non
satinette de coton,,non
satinette de laine,,non
satissoie,,non
satte,,non
Saturne,,oui
Saturne en extrait,,non
saucisses,,non
saucisses de Boulogne,,non
saucissons,,non
saucissons salés,,non
saude,,non
sauge,,non
saule de fer,,non
saulx,,non
saumon,,non
saumon d'Écosse,,non
saumon en daube,,non
saumon frais,,non
saumon fumé,,non
saumon madré,,non
saumon mariné,,non
saumon mariné et salé,,non
saumon salé,,non
saumon salé et mariné,,non
saumon salé et séché,,non
saumon sec,,non
saumonée,,non
saumoule,,oui
saumure,,non
saumure salée,,non
sauphas,,non
saur,,non
sauvagines,,non
savine,,non
savoine languine,,non
savon,Savon,non
savon blanc,Savon,non
savon blanc et marbré,Savon,non
savon blanc noir rouge marbré,Savon,non
savon d'Alicante,Savon,non
savon d'Espagne,Savon,non
savon de Gênes,Savon,non
savon de Marseille,Savon,non
savon de retour,Savon,non
savon de terre,Savon,non
savon et pruneaux,Savon,non
savon et sucre,Savon,non
savon et verdet,Savon,non
savon et vert-de-gris,Savon,oui
savon gras,Savon,non
savon madré,Savon,non
savon marbré,Savon,non
savon mol,Savon,non
savon noir,Savon,non
savon vert,Savon,non
savonnettes,Savon,non
savonnettes de senteur,Savon,non
saye,,oui
saye blanche,,oui
saye blanche sans apprêt,,oui
saye de Bruges,,oui
saye de Liège,,oui
saye teinte,,oui
saye teinte aune,,oui
sayessa,,non
sayne,,non
sayns,,oui
scammonée,,non
scammonnée,,oui
scapa,,non
scaps,,non
sceaux de sapin,,oui
schakos,,non
schakos garnis,,non
schakos sans garniture,,non
scielle,,non
scies,,non
scies à moulu,,non
scies communes,,non
scies de fer,,non
scies fines,,non
scies pour la Compagnie des Indes,,non
scille maritime,,non
scinque,,non
scortins d'auf,,non
sculptures,,non
seamonnée,,oui
seau à l'eau de sapin,,oui
seau de Martre,,oui
seaux,,non
seaux à l'eau,,non
seaux à l'eau de sapin,,non
seaux cerclés de fer,,non
seaux de bois,,non
seaux de bois ferré,,non
seaux de cuir,,non
seaux de faïence,,non
seaux de fer-blanc,,non
seaux de sapin,,non
seaux de veau,,non
seaux de verre,,non
seaux de vin,,non
seaux ferrés,,non
sébeste,,non
secrétaire,,non
secrétaire d'acajou,,non
secrétaire de noyer,,non
sege de Saint-Louis,,non
segrin,,non
seigle,,non
seil de bois,,non
seil de grain,,non
seil de grains,,oui
seilles de bois,,oui
seivadille,,oui
sel,,non
sel ammonisé,,non
sel antarctique,,non
sel arctique,,non
sel artique,,oui
sel blanc,,non
sel blanc pour la pêche,,non
sel chimique,,non
sel chimique de Glauber,,non
sel chimique de lait,,non
sel chimique de nitre,,non
sel chimique en gemme,,oui
sel chimique gemme,,non
sel commun,,non
sel composé,,non
sel d'absinthe (alsem),,non
sel d'alsem,,non
sel d'ammoniac,,non
sel d'ammoniac brut ou en poudre,,non
sel d'ammoniac raffiné,,non
sel d'Angleterre,,non
sel d'antimoine,,non
sel d'Epsom,,non
sel d'Epsom et Glauber,,non
sel d'Espagne,,non
sel d'étain,,non
sel d'Oléron,,non
sel d'Oléron de Ré,,non
sel d'Olonne,,non
sel d'opium,,non
sel d'orseille,,oui
sel d'oseille,,non
sel de,,non
sel de baryte,,non
sel de boue,,non
sel de Bourgneuf,,non
sel de Bretagne,,non
sel de carabé,,non
sel de chimie,,non
sel de corne de cerf,,non
sel de duobus,,oui
sel de fat ???,,non
sel de Franche-Comté,,non
sel de gemme,,oui
sel de Glauber,,non
sel de gruau,,non
sel de grum,,non
sel de lait,,non
sel de Lorraine,,non
sel de marais,,non
sel de Marennes,,non
sel de mer,,non
sel de mer et de salins,,non
sel de nitre,,non
sel de paume,,non
sel de plomb,,non
sel de potasse,Potasse,non
sel de prunelle,,non
sel de Prusse,,non
sel de Ré,,non
sel de roche,,non
sel de Rocq,,non
sel de Saint-Gilles,,non
sel de Saint-Hubert ou du Portugal,,non
sel de samoine,,non
sel de Saturne,,non
sel de Saturne et autres,,non
sel de sauvene,,non
sel de seignette,,oui
sel de Seignette,,non
sel de seignette policreste et Glauber,,oui
sel de Seignette policreste et Glauber,,non
sel de tamarin,,non
sel de tartaric,,non
sel de tartre,Tartre,non
sel de tartre émétique,Tartre,non
sel de verre,,non
sel de vitriol,Vitriol ; blanc,non
sel des mines anglaises,,non
sel des prises,,non
sel des sables d'Olonne,,non
sel dit beggere,,non
sel du Croisic,,non
sel du Poulinguen,,non
sel duobus,,oui
sel émétique,,non
sel en boue,,non
sel en gemme,,oui
sel en gomme,,non
sel en grabeau,,non
sel en grain,,non
sel en pain,,non
sel gemme,,non
sel Glauber,,non
sel gris,,non
sel gruau,,non
sel grum,,non
sel marin de marais,,non
sel marin gemme,,non
sel médicinal,,non
sel médicinal divers,,non
sel minéral,,non
sel misay,,non
sel mistry,,non
sel ordinaire,,non
sel oxalate aide de potasse (sel d'oseille),,non
sel peccain,,non
sel policreste et d'Epsom,,non
sel pour la pêche libre,,non
sel purgatif,,non
sel regerat,,non
sel Saturne,,oui
sel sublimé,,non
sel sucsin,,non
sel sulfates de magnésie,,oui
sel sulfates de soude,,non
sel tartre émétique,Tartre,oui
sel teint,,non
sel végétal,,non
sel vieux,,non
sel volatil,,non
sellerie,,non
sellerie commune,,non
sellerie de cuir,,non
sellerie en harnais,,non
selles,,non
selles communes,,non
selles de bois,,non
selles de cuir,,non
selles de femme,,non
selles de fer,,non
selles de maître,,non
selles de poste,,non
selles de sapin,,non
selles de velours,,non
selles garnies de velours,,non
selles neuves,,non
selles vieilles,,non
sellet et télescope,,non
selleterie commune,,oui
selliers,,non
sels,,oui
semé,,non
semelles et talons,,non
semen contra,,non
semen dacy,,non
semence de Caroy,,non
semence de perles,,non
semence écarlate,,non
semence froide,,non
semencine,,non
semenconna,,non
semoirs,,non
semoule,,non
sempiterne,,non
sendaline,,non
séné,,non
séné en follicule,,non
séné en grabeau,,non
sénegré,,non
senes,,oui
sennes,,non
sennes à pêcher,,oui
senobre,,non
sequins,,non
sequins par Marseille,,non
serains,,non
serans,,non
serans à peigner,,non
serans à peigner le lin,,non
séraphine,,non
sercliers,,non
serencontra,,oui
serge,,non
serge ???,,non
serge 1/2 Londres,,non
serge à doubler,,non
serge aune blanche,,non
serge aune commune,,non
serge aune commune teinte,,non
serge aune d'Angleterre,,non
serge aune drapée,,non
serge aune teinte,,non
serge blanche,,non
serge Blicourt,,non
serge commune,,non
serge commune aune,,oui
serge commune teinte,,non
serge croisée,,non
serge croisée de laine,,non
serge d'Angleterre,,non
serge d'Arnetal,,non
serge d'Aumale,,non
serge d'Aumale de laine,,non
serge d'Aumale imprimée,,non
serge de Bruxelles,,non
serge de fil et de laine,,non
serge de fil et laine,,non
serge de laine,,non
serge de laine ???,,non
serge de laine Aumale,,oui
serge de laine Blicourt,,non
serge de laine d'Aumale,,non
serge de laine de Blicourt,,non
serge de laine de Rome,,non
serge de laine de Rouen,,non
serge de laine diverse,,non
serge de laine drapée,,non
serge de laine et de soie,,non
serge de laine étroite,,non
serge de laine forte,,non
serge de laine imprimée,,non
serge de laine large,,non
serge de laine Minorque,,non
serge de laine noire,,non
serge de laine pour ???,,oui
serge de laine sagati,,non
serge de laine voile,,non
serge de Lille,,non
serge de Londres et autres,,non
serge de Montauban,,non
serge de Nîmes,,non
serge de Nîmes aune,,non
serge de Poitou,,non
serge de Rome,,non
serge de Saint-Maixant,,oui
serge de Saint-Maixent,,non
serge de Savoie,,non
serge de soie,,non
serge des prise,,oui
serge des prises,,non
serge double,,non
serge drap,,non
serge drapée,,non
serge drapée et de laine,,non
serge du Languedoc,,non
serge du pays,,non
serge écarlatine,,non
serge et prunelle de laine étroite,,non
serge fil et laine,,non
serge forte,,non
serge imprimée,,non
serge imprimée aune,,non
serge Minorque,,non
serge sergette,,non
serge teinte,,non
serge verte,,non
sergette,,non
sergette de laine,,non
sergette de Montauban,,non
sergette des prises,,non
sergette fine,,non
sergette Maine,,non
serinettes,,non
serinettes ouvrées,,non
seringues,,non
seringues d'étain,,non
serizes,,oui
serpentera virgina,,non
serpentin à distiller,,non
serpentine,,non
serpentine à distiller l'eau-de-vie,,non
serpents,,non
serpes,,non
serpes de fer,,non
serra merita,,non
serratille,,non
serrure de bois,,non
serrure de cuivre,,non
serrure petite,,non
serrure pour faucettes,,oui
serrures de cuivre,,non
serrures de fer,,non
serrures pour fossettes,,non
service de tables,,non
service de tables argenté et doré et d'osier,,non
serviettes,,non
serviettes à nappes,,non
serviettes communes,,non
serviettes d'étoupes,,non
serviettes de lin,,non
serviettes de table,,non
serviettes de toile,,non
serviettes de toile de ménage,,non
serviettes de toile peinte,,non
serviettes découpées,,non
serviettes et nappes,,non
serviettes et nappes des Indes,,non
serviettes ouvrées,,non
sevan de cuir de Russie,,non
Sèvres,,non
shetas des Indes,,non
siagne,,non
siague,,non
siamoise,,non
siamoise à bouquet de coton,,non
siamoise à bouquets de laine de coton et de fil,,non
siamoise à bouquets de laine de fil,,non
siamoise à fleurs,,non
siamoise à peu,,non
siamoise à peu de soie,,non
siamoise au sixième de soie,,non
siamoise blanche de coton,,non
siamoise blanche de coton et de fil,,non
siamoise brochée de coton et de fil,,non
siamoise commune,,non
siamoise de coton,,non
siamoise de coton au quart de soie,,non
siamoise de coton au sixième de soie,,non
siamoise de coton et de fil,,non
siamoise de coton et de fil et imprimée,,non
siamoise de coton et de fil et teinte,,non
siamoise de coton et de fil imprimée,,non
siamoise de coton et de fil unie,,non
siamoise de coton et toile de coton peinte,,non
siamoise de coton imprimée,,non
siamoise de coton teinte,,non
siamoise de fil à bouquets de laine,,oui
siamoise de fil et teinte,,oui
siamoise de fil imprimée,,non
siamoise de fil peinte,,non
siamoise de fil rayée,,non
siamoise de fil simple,,non
siamoise de fil teinte,,non
siamoise de Rouen,,non
siamoise de soie,,non
siamoise en crin,,non
siamoise fil coton,,non
siamoise fil de coton,,non
siamoise fine,,non
siamoise imprimée,,non
siamoise imprimée et de fil,,oui
siamoise teinte,,non
sicader,,non
sigle vis de laine,,non
simaboura,,oui
simarouba,,non
simenontrea,,oui
simples,,non
sinabre,,non
siné,,non
singalette,,non
singe,,non
siragondis,,non
siraménéas,,oui
sirop,,non
sirop à boire,,non
sirop brut,,non
sirop calbasse,,non
sirop d'alkermès,,non
sirop d'altea,,non
sirop d'amont,,non
sirop d'amour,,non
sirop d'orgeat,,non
sirop d'orgeat au fiasque,,non
sirop de Calabre,,non
sirop de calbasse,,non
sirop de capillaire,,non
sirop de capillaire et autre composés,,non
sirop de capitaine,,non
sirop de cédrat,,non
sirop de citron,,non
sirop de coriandre,,non
sirop de framboise,,non
sirop de l'étranger,,non
sirop de limon,,non
sirop de mélasse,,non
sirop de mûre,,non
sirop de raffinerie,,non
sirop de sucre,,non
sirop de sucre candi,,non
sirop de vinaigre,,non
sirop de violette,,non
sirop des Indes,,non
sirop et sucre,,non
sirop fin,,non
sirop fin et mélasse,,non
sirop fins et sucre,,non
sirop médicinal,,non
sirop mélasse,,non
sirop ou jus de cerise et de grenade avec nourritures,,oui
sirop ou jus de cerise et de grenades,,oui
sirop terré,,non
sirops,,oui
sistes condales,,non
sistresaye,,non
sivadille,,non
slatille des Indes,,non
slin de laine,,non
smalte,,non
soberton,,non
socle de fer,,non
socreton,,non
socrotour,,non
socs,,non
socs de charrues,,non
socs de fer,,non
soie,,non
soie à broder,,non
soie à coudre,,non
soie à coudre teinte,,non
soie à tricoter,,non
soie apprêtée,,non
soie ardasse,,non
soie ardassine,,non
soie blanche,,non
soie blanche sans apprêt,,non
soie bourre cardée en feuilles et ouates,,non
soie bourre écrue,,non
soie bourre écrue en masse,,non
soie bourre écrue et teinte,,non
soie bourre écrue filée moulinée,,non
soie bourre écrue filée non moulinée,,non
soie bourre en masse teinte,,non
soie bourre filée fleuret écru,,non
soie bourre filée fleuret teint,,non
soie bourre filée-fleuret en masse,,non
soie bourre fleuret écru et teint,,non
soie brousse,,non
soie Canton,,non
soie cocon,,non
soie cocons perus,,non
soie commune,,non
soie crue,,non
soie crue organsine,,non
soie de Bruges,,non
soie de charrues,,non
soie de Chypre,,non
soie de fleuret,,non
soie de la chaîne,,non
soie de laine,,non
soie de Liège,,non
soie de Nankin,,non
soie de porcs,,non
soie de porcs ???,,non
soie de porcs et soie de sanglier,,non
soie de porcs étrangère,,non
soie de porcs ouvré,,non
soie de Provence,,non
soie de sanglier,,non
soie de toile,,non
soie de toile vieille,,non
soie des Indes,,non
soie des pays étrangers,,non
soie dite filoselle,,non
soie dite fleuret,,non
soie du Bengale,,non
soie écrue,,non
soie écrue moulinée,,non
soie écrue moulinée doupion,,non
soie en bourre,,non
soie en cocon,,non
soie en cocons et en estrasse,,non
soie en estrasse,,non
soie en étoupes,,non
soie en fleuret,,non
soie en masses,,non
soie en peluches,,non
soie en rames,,non
soie en strasse,,non
soie en suaze,,non
soie étoupe,,oui
soie étoupes,,non
soie exportée de Marseille,,non
soie filée,,oui
soie fleuret ???,,non
soie floche,,non
soie galette,,non
soie grège,,non
soie grège ???,,non
soie grège autre que doupion,,non
soie grège de Provence,,non
soie grège doupion,,non
soie grège écrue,,non
soie grège écrue doupion,,non
soie grège par Marseille,,non
soie grèse,,oui
soie grèse ???,,oui
soie grèse de Provence,,oui
soie grèse par Marseille,,oui
soie lorce,,non
soie mauresque,,non
soie mêlée,,oui
soie moulinée,,non
soie moulinée autre que doupion,,non
soie moulinée doupion,,non
soie ouvrée,,non
soie par Collonges et Strasbourg,,non
soie par Marseille,,non
soie plate,,non
soie siamoise,,non
soie tamis,,non
soie tanier,,non
soie tapis,,non
soie teinte,,non
soie trame ???,,non
soie tricoter,,non
soie tripoline,,non
soierie,,non
soierie brodée,,non
soierie confinant,,non
soierie de fil à fleurs,,non
soierie de lin,,non
soierie de Lyon,,non
soierie de toile,,non
soierie de Tours,,non
soierie des Indes,,non
soierie et coton des Indes,Coton,non
soierie et dorure,,non
soierie et dorure fine,,non
soierie fleuret,,non
soierie habits,,oui
soins,,non
solas,,non
soles,,non
soliveaux,,non
soliveaux d'acajou,,non
soliveaux de 10 à 12 pieds et de sapin,,non
soliveaux de 10 pieds et de sapin,,non
soliveaux de 12 pieds et de sapin,,non
soliveaux de 14 à 16 pieds et de 4 pouces de carré,,non
soliveaux de 14 pieds et de sapin,,non
soliveaux de 15 à 20 pieds et de sapin,,non
soliveaux de 15 pieds,,non
soliveaux de 15 pieds et de sapin,,non
soliveaux de 17 pieds et de sapin,,non
soliveaux de 18 à 20 pieds,,non
soliveaux de 18 à 20 pieds et de sapin,,non
soliveaux de 18 pieds,,non
soliveaux de 18 pieds et de sapin,,non
soliveaux de 20 à 22 pieds,,non
soliveaux de 20 à 25 pieds et de sapin,,non
soliveaux de 20 à 30 pieds et de sapin,,non
soliveaux de 20 pieds et de sapin,,non
soliveaux de 21 à 22 pieds et dde sapin,,non
soliveaux de 22 pieds et de sapin,,non
soliveaux de 24 pieds,,non
soliveaux de 24 pieds et de sapin,,non
soliveaux de 25 pieds et de sapin,,non
soliveaux de 26 pieds et de sapin,,non
soliveaux de 29 à 30 pieds et de sapin,,non
soliveaux de 30 pieds et de sapin,,non
soliveaux de 34 pieds et de sapin,,non
soliveaux de 36 pieds et de sapin,,non
soliveaux de 50 pieds et de sapin,,non
soliveaux de 6 à 7 pieds et de sapin,,non
soliveaux de 9 à 18 pieds et de sapin,,non
soliveaux de 9 pieds et de sapin,,non
soliveaux de bois,,non
soliveaux de bois de nache,,non
soliveaux de châtaigner,,non
soliveaux de châtaignier,,oui
soliveaux de chêne,,non
soliveaux de chêne de 10 pieds,,non
soliveaux de chêne de 12 à 15 pieds,,non
soliveaux de chêne de 13 pieds,,non
soliveaux de chêne de 15 à 20 pieds,,non
soliveaux de chêne de 16 pieds,,non
soliveaux de chêne de 18 pieds,,non
soliveaux de chêne de 24 pieds,,non
soliveaux de cyprès,,non
soliveaux de hêtre,,non
soliveaux de sapin,,non
soliveaux de sapin de 16 pieds,,non
soliveaux de sapin de 28 pieds,,non
soliveaux de sapin de 5 pieds,,non
soliveaux de sapin de 6 pieds,,non
soliveaux de sapin de 9 pieds,,oui
soliveaux petits,,non
soliveaux petits et de sapin,,non
solives,,non
solives de 16 à 20 pieds,,non
solives de sapin,,non
solles ou langues,,non
sommiers bruts et pour Mannem,,non
sommiers de bois,,non
sommiers de chêne,,non
sommiers façonnés et de chêne,,non
sommiers ou corps d'arbre de sapin,,non
son,,non
son d'Espagne,,non
son de farine,,non
son et vesse de fer,,non
sonde,,non
sonde d'argent,,non
sonde ou soude,,non
sonnettes,,non
sonnettes de bronze,,non
sonnettes de fonte,,non
soquet,,non
sorbet,,non
sortes,,non
sotas,,non
soucade,,non
souci,,oui
souci pour mouchoirs,,oui
soucis,,non
soucis de soie,,non
soucis pour mouchoirs,,non
soucoupes de faïence,,non
soucoupes et tasses de faïence,,non
soucoupes vernies,,non
soucrillon,,non
soucrillon en gerbes,,non
soude de toute sorte,,non
soude soufre,,non
soudes,,non
soudes et natron et salin,,non
soudes et potasse,Potasse,non
soudes et tartre,Tartre,non
soudure,,non
soudure de cuivre,,non
soufflets,,non
soufflets à bouche,,non
soufflets à feu,,non
soufflets à forge,,non
soufflets à poudre,,non
soufflets à tirer,,non
soufflets à tirer le vin,,non
soufflets à tirer le vin au clair,,non
soufflets à tirer le vin au clair et sa garniture,,non
soufflets d'hermine,,non
soufflets de bois,,non
soufflets de cheminée,,non
soufflets de forge,,non
soufflets de maréchal,,non
soufflets petits,,non
soufflets pour orgues,,non
soufre,,non
soufre ???,,non
soufre à canons,,non
soufre brut,,non
soufre en canons,,non
soufre en canons épuré,,non
soufre en fanon,,non
soufre en fleurs,,non
soufre en mèche,,non
soufre épuré,,non
soufre raffiné,,non
soufre sublimé en poudre,,non
soufre vif,,non
souliers,,non
souliers à dessus de soie pour femme,,non
souliers anglais,,non
souliers blancs,,non
souliers brodés,,non
souliers brodés d'argent,,non
souliers brodés d'argent et d'or,,non
souliers brodés d'argent et de soie,,non
souliers brodés et pour femme,,non
souliers commun,,oui
souliers communs,,non
souliers couverts en callemande et pour femme,,non
souliers couverts en étoffe,,non
souliers couverts en étoffes et pour femme,,non
souliers couverts en soie et pour femme,,non
souliers d'enfant,,non
souliers d'étoffe de soie,,non
souliers d'homme,,non
souliers de chanvre,,non
souliers de corde,,non
souliers de cordonnier,,non
souliers de cordonnier pour femme,,non
souliers de cordonnier pour homme,,non
souliers de cordonnier vieux,,non
souliers de cuir,,non
souliers de cuir couverts en soie pour femme,,non
souliers de cuir et pour femme,,non
souliers de cuir et pour homme,,non
souliers de cuir et pour homme et femme,,non
souliers de cuir pour homme,,non
souliers de cuir pour homme et femme,,non
souliers de dame,,non
souliers de maroquin,,non
souliers de soie,,non
souliers enfant,,non
souliers neufs,,non
souliers pantoufles et galoches,,non
souliers par paires,,non
souliers petits,,non
souliers pour enfant,,non
souliers pour femme,,non
souliers pour homme,,non
souliers pour homme et femme,,non
souliers vieux,,non
souline étoffe des Indes,,non
soupières de faïence,,non
souquets de mâts,,non
southoy,,non
soutien,,non
soux de grabanite,,non
soux en feuilles,,non
soyette de fil,,non
spalme,,non
spalte,,non
spardilles,,non
spart brut,,non
spart brut et presle,,non
sparterie,,non
sparterie brute en auf jonc et roseau,,non
spath,,non
spéculation,,non
spermaceti,Blanc ; de baleine,non
sperme,,non
sperme de baleine,Blanc ; de baleine,non
spermecely,,non
spiante,,non
spicaceltica,,non
spicajudica,,non
spicanardi,,non
spicaseltica,,oui
spinenardi,,non
spirinck,,non
spode,,non
sprottes,,non
square,,non
squille de grain,,non
squine,,non
stafisagre,,non
stafisaigre,,oui
stagnon,,non
statue de pierre,,non
statue de plomb,,non
stechas arabique,,non
stephais,,non
sthouchais,,non
stil de grain,,non
stil de grains et vermillon,,non
stinkerque,,non
stinkerque à barre,,non
stinkerque brodée,,oui
stinkerque brodées,,non
stinkerque de fil organdis,,non
stira liquide,,oui
stirax liquide,,non
stockfisch,,non
stockfisch et morue,,non
stockfisch mariné et salé,,non
stockfisch salé,,non
stopilles,,oui
storax,,non
storax calames,,non
storax calamin,,non
storax liquide,,non
stragondis,,non
sublimé,,non
sublimé corosif,,non
subsistances,,non
substances et produits chimiques,,non
substances et produits chimiques principalement eau-forte et couperose,,non
substances et produits chimiques principalement en eau-forte et couperose bleue et blanche,,non
suc de réglisse,Sucre ; cru blanc ; du Brésil,non
succade,,non
succin,,oui
sucre,Sucre ; cru blanc ; du Brésil,non
sucre à devises et à casser,Sucre ; cru blanc ; du Brésil,non
sucre bâtard,Sucre ; cru blanc ; du Brésil,non
sucre blanc,Sucre ; cru blanc ; du Brésil,non
sucre blanc brut des entrepôts étranger,Sucre ; cru blanc ; du Brésil,non
sucre blanc brut étranger,Sucre ; cru blanc ; du Brésil,non
sucre blanc en pain,Sucre ; cru blanc ; du Brésil,non
sucre blanc et sucre terré,Sucre ; cru blanc ; du Brésil,non
sucre blanc et sucre terré des Îles françaises de l'Amérique,Sucre ; cru blanc ; du Brésil,non
sucre blanc et sucre terré et sucre têtes,Sucre ; cru blanc ; du Brésil,non
sucre blanc et tabatière de bergamote,Sucre ; cru blanc ; du Brésil,oui
sucre blanc et tabatières de bergamote,Sucre ; cru blanc ; du Brésil,non
sucre blanc terré et têtes,Sucre ; cru blanc ; du Brésil,non
sucre brun,Sucre ; cru blanc ; du Brésil,non
sucre brun brut,Sucre ; cru blanc ; du Brésil,non
sucre brun prix bas,Sucre ; cru blanc ; du Brésil,non
sucre brut,Sucre ; cru blanc ; du Brésil,non
sucre brut autre que blanc,Sucre ; cru blanc ; du Brésil,non
sucre brut autre que blanc des entrepôts étranger,Sucre ; cru blanc ; du Brésil,non
sucre brut autre que blanc étranger,Sucre ; cru blanc ; du Brésil,non
sucre brut blanc,Sucre ; cru blanc ; du Brésil,non
sucre brut blanc ou terré,Sucre ; cru blanc ; du Brésil,non
sucre brut des colonies françaises au-delà du Cap,Sucre ; cru blanc ; du Brésil,non
sucre brut en forme,Sucre ; cru blanc ; du Brésil,non
sucre brut et sucre terré,Sucre ; cru blanc ; du Brésil,non
sucre brut par Nantes,Sucre ; cru blanc ; du Brésil,non
sucre candi,Sucre ; cru blanc ; du Brésil,non
sucre candi en pain et en poudre raffiné,Sucre ; cru blanc ; du Brésil,non
sucre candi et en pain,Sucre ; cru blanc ; du Brésil,non
sucre candi et sucre en pain par Bayonne Bordeaux Le Havre et Dunkerque,Sucre ; cru blanc ; du Brésil,non
sucre candi raffiné,Sucre ; cru blanc ; du Brésil,non
sucre carré,Sucre ; cru blanc ; du Brésil,non
sucre cassonade,Sucre ; cru blanc ; du Brésil,non
sucre cassonade des Indes,Sucre ; cru blanc ; du Brésil,oui
sucre commun,Sucre ; cru blanc ; du Brésil,non
sucre d'érable,Sucre ; cru blanc ; du Brésil,non
sucre d'orge,Sucre ; cru blanc ; du Brésil,non
sucre de Brésil et sucre blanc et sucre cru,Sucre ; cru blanc ; du Brésil,non
sucre de canne,Sucre ; cru blanc ; du Brésil,non
sucre de Cayenne,Sucre ; cru blanc ; du Brésil,non
sucre de Cayenne terré,Sucre ; cru blanc ; du Brésil,non
sucre de forme,Sucre ; cru blanc ; du Brésil,non
sucre de lait,Sucre ; cru blanc ; du Brésil,non
sucre de réglisse,Sucre ; cru blanc ; du Brésil,non
sucre de têtes,Sucre ; cru blanc ; du Brésil,non
sucre des Indes brut,Sucre ; cru blanc ; du Brésil,non
sucre des Indes terré,Sucre ; cru blanc ; du Brésil,non
sucre des Indes têtes,Sucre ; cru blanc ; du Brésil,non
sucre des prises terré,Sucre ; cru blanc ; du Brésil,non
sucre dit lompen,Sucre ; cru blanc ; du Brésil,non
sucre en blanc,Sucre ; cru blanc ; du Brésil,non
sucre en dragées,Sucre ; cru blanc ; du Brésil,non
sucre en forme terré,Sucre ; cru blanc ; du Brésil,non
sucre en lait,Sucre ; cru blanc ; du Brésil,non
sucre en pain,Sucre ; cru blanc ; du Brésil,non
sucre en pain blanc,Sucre ; cru blanc ; du Brésil,non
sucre en pain et en poudre raffiné,Sucre ; cru blanc ; du Brésil,non
sucre en pain et sucre raffiné,Sucre ; cru blanc ; du Brésil,non
sucre en pain et sucre raffiné et sucre têtes etc.,Sucre ; cru blanc ; du Brésil,non
sucre en pain et sucre terré,Sucre ; cru blanc ; du Brésil,non
sucre en pain par Le Havre,Sucre ; cru blanc ; du Brésil,non
sucre en pain par Strasbourg,Sucre ; cru blanc ; du Brésil,non
sucre en pain par Strasbourg Metz et Riltzeim,Sucre ; cru blanc ; du Brésil,non
sucre en pain pour la Compagnie des Indes,Sucre ; cru blanc ; du Brésil,non
sucre en pain raffiné,Sucre ; cru blanc ; du Brésil,non
sucre en pain sorti avec prime,Sucre ; cru blanc ; du Brésil,non
sucre en poudre,Sucre ; cru blanc ; du Brésil,non
sucre en poudre blanc,Sucre ; cru blanc ; du Brésil,non
sucre en poudre blanc de haut prix,Sucre ; cru blanc ; du Brésil,non
sucre en poudre brun,Sucre ; cru blanc ; du Brésil,non
sucre et raisin sec,Sucre ; cru blanc ; du Brésil,non
sucre et rocou,Sucre ; cru blanc ; du Brésil,non
sucre et tabac,Sucre ; cru blanc ; du Brésil,non
sucre et verdet,Sucre ; cru blanc ; du Brésil,non
sucre et vert-de-gris,Sucre ; cru blanc ; du Brésil,oui
sucre ferré,Sucre ; cru blanc ; du Brésil,non
sucre fin,Sucre ; cru blanc ; du Brésil,non
sucre mélasse,Sucre ; cru blanc ; du Brésil,non
sucre mélisse,Sucre ; cru blanc ; du Brésil,non
sucre mes ???,Sucre ; cru blanc ; du Brésil,non
sucre moscovade,Sucre ; cru blanc ; du Brésil,non
sucre noix,Sucre ; cru blanc ; du Brésil,non
sucre orianne,Sucre ; cru blanc ; du Brésil,non
sucre raffiné,Sucre ; cru blanc ; du Brésil,non
sucre roulé,Sucre ; cru blanc ; du Brésil,non
sucre terré,Sucre ; cru blanc ; du Brésil,non
sucre terré autre que blanc,Sucre ; cru blanc ; du Brésil,non
sucre terré autre que blanc des entrepôts étranger,Sucre ; cru blanc ; du Brésil,non
sucre terré autre que blanc étranger,Sucre ; cru blanc ; du Brésil,non
sucre terré blanc,Sucre ; cru blanc ; du Brésil,non
sucre terré blanc des entrepôts étranger,Sucre ; cru blanc ; du Brésil,non
sucre terré blanc étranger,Sucre ; cru blanc ; du Brésil,non
sucre terré blanc ordinaire et tête de forme,Sucre ; cru blanc ; du Brésil,non
sucre terré brun étranger,Sucre ; cru blanc ; du Brésil,non
sucre terré commun,Sucre ; cru blanc ; du Brésil,non
sucre terré des colonies françaises au-delà du Cap,Sucre ; cru blanc ; du Brésil,non
sucre terré des Indes,Sucre ; cru blanc ; du Brésil,non
sucre terré et sucre têtes,Sucre ; cru blanc ; du Brésil,non
sucre terré et sucre têtes d'Amérique,Sucre ; cru blanc ; du Brésil,oui
sucre terré par Bayonne Marseille et Nantes,Sucre ; cru blanc ; du Brésil,non
sucre terré par Chapareillan,Sucre ; cru blanc ; du Brésil,non
sucre terré têtes,Sucre ; cru blanc ; du Brésil,non
sucre têtes,Sucre ; cru blanc ; du Brésil,non
sucre têtes forme,Sucre ; cru blanc ; du Brésil,non
