simplification,nbr_occurences_simpl,obsolete,v_glass_beads,nbr_occurences_v_glass_beads
planches de Prusse communes,7,non,out,830095
planches de Prusse de ??? pieds de long et de 4 pouces d'épaisseur,1,non,,40499
planches de Prusse de 10 à 12 pieds,2,non,out,830095
planches de Prusse de 10 pieds,1,non,out,830095
planches de Prusse de 11 à 12 pieds,1,non,out,830095
planches de Prusse de 12 a 13 pieds et de 1 pouce d'épaisseur,1,non,out,830095
planches de Prusse de 12 pieds,1,non,out,830095
planches de Prusse de 13 à 16 pieds,1,non,out,830095
planches de Prusse de 13 pieds,1,non,out,830095
planches de Prusse de 15 pieds,2,non,out,830095
planches de Prusse de 15 pieds de long et de 3 pouces d'épaisseur,1,non,,40499
"planches de Prusse de 18 à 30 pieds et de 1,75 à 2 pouces d'épaisseur",1,non,out,830095
planches de Prusse de 18 pieds,3,non,out,830095
planches de Prusse de 18 pieds à 41 pieds à 1 pouce 1/2 4 pouces d'épaisseur,1,non,out,830095
planches de Prusse de 20 pieds,2,non,out,830095
planches de Prusse de 21 à 22 pieds,1,non,out,830095
planches de Prusse de 22 pieds,2,non,out,830095
planches de Prusse de 24 pieds,4,non,out,830095
planches de Prusse de 25 pieds,3,non,out,830095
planches de Prusse de 26 à 27 pieds,1,non,out,830095
planches de Prusse de 26 ou 27 pieds,1,non,,40499
planches de Prusse de 26 pieds,1,non,,40499
planches de Prusse de 27 à 28 pieds,1,non,out,830095
planches de Prusse de 27 pieds,6,non,out,830095
planches de Prusse de 28 à 30 pieds,3,non,out,830095
planches de Prusse de 28 pieds,5,non,out,830095
planches de Prusse de 30 à 32 pieds,1,non,,40499
planches de Prusse de 30 à 40 pieds,1,non,out,830095
planches de Prusse de 30 ou 32 pieds,1,non,,40499
planches de Prusse de 30 pieds,8,non,out,830095
planches de Prusse de 32 pieds,1,non,,40499
planches de Prusse de 33 à 35 pieds,1,non,out,830095
planches de Prusse de 33 pieds,3,non,out,830095
planches de Prusse de 34 à 35 pieds et de 2 pouces d'épaisseur,1,non,out,830095
planches de Prusse de 35 pieds,3,non,out,830095
planches de Prusse de 36 pieds,3,non,out,830095
planches de Prusse de 37 pieds,1,non,out,830095
planches de Prusse de 38 pieds,1,non,,40499
planches de Prusse de 4 pieds,1,non,,40499
planches de Prusse de 40 à 41 pieds à 3 pouces d'épaisseur,1,non,out,830095
planches de Prusse de 40 pieds,2,non,out,830095
planches de Prusse de 42 pieds,0,non,out,830095
planches de Prusse de 5 pieds,1,non,out,830095
planches de Prusse de 7 à 9 pieds,1,non,out,830095
planches de Prusse de 8 à 12 pieds,1,non,out,830095
planches de Prusse de 8 à 9 pieds,1,non,out,830095
planches de Prusse de 8 pieds,1,non,out,830095
planches de Prusse de 9 à 10 pieds,1,non,out,830095
planches de Prusse de 9 pieds,1,non,out,830095
planches de Prusse demie,1,oui,out,830095
planches de Prusse diverses,2,non,,40499
planches de Prusse en bouts,1,non,,40499
planches de Prusse petites,2,non,out,830095
planches de Prusse refendues de 1 pied,1,non,,40499
planches de Pui,5,non,out,830095
planches de rebut,3,non,out,830095
planches de sapin,2034,non,out,830095
planches de sapin 1/2 planches,1,non,out,830095
planches de sapin 10 à 11 pieds,3,non,out,830095
planches de sapin 10 à 13 pieds,1,non,out,830095
planches de sapin 11 à 12 pieds,1,non,out,830095
planches de sapin 12 à 14 pieds,1,non,out,830095
planches de sapin 12 à 15 pieds,1,non,out,830095
planches de sapin 12 pieds,7,non,out,830095
planches de sapin 13 à 14 pieds,1,non,out,830095
planches de sapin 15 à 18 pieds,2,non,out,830095
planches de sapin 15 pieds,2,non,out,830095
planches de sapin 18 pieds,14,non,out,830095
planches de sapin 19 à 20 pieds,1,non,out,830095
planches de sapin 26 à 27 pieds,1,non,out,830095
planches de sapin 26 à 29 pieds,1,non,out,830095
planches de sapin 27 pieds,1,non,out,830095
planches de sapin 30 pieds,2,non,out,830095
planches de sapin 32 à 33 pieds,1,non,out,830095
planches de sapin 32 à 34 pieds,1,non,out,830095
planches de sapin 35 pieds,1,non,out,830095
planches de sapin 36 pieds,1,non,out,830095
planches de sapin 4 pieds,1,non,out,830095
planches de sapin 6 à 7 pieds,1,non,out,830095
planches de sapin 6 pieds,1,non,out,830095
planches de sapin 7 à 11 pieds,1,non,out,830095
planches de sapin 7 à 8 pieds,1,non,out,830095
planches de sapin 8 à 12 pieds,1,non,out,830095
planches de sapin 8 pieds,1,non,out,830095
planches de sapin 9 à 10 pieds,2,non,out,830095
planches de sapin 9 à 10 pieds à 15 sous,1,non,out,830095
planches de sapin 9 pieds,1,non,out,830095
planches de sapin au grand compte,4,non,out,830095
planches de sapin boîtes,1,non,out,830095
planches de sapin commun,275,non,out,830095
planches de sapin d'un demi-pied,1,non,,40499
planches de sapin de ???,1,non,,40499
planches de sapin de ??? pieds,0,non,out,830095
planches de sapin de 1 1/4 pouce,2,non,out,830095
planches de sapin de 1 pouce,4,non,out,830095
planches de sapin de 1/2 pouce,2,non,out,830095
planches de sapin de 10 à 11 pieds,38,non,out,830095
planches de sapin de 10 à 11 pieds à 20 sous,1,non,out,830095
planches de sapin de 10 à 12 pieds,30,non,out,830095
"planches de sapin de 10 à 12 pieds à 1 pouce 1,5 pouce d'épaisseur",1,non,out,830095
planches de sapin de 10 à 12 pieds à 30 sous,1,non,out,830095
planches de sapin de 10 à 13 pieds,3,non,out,830095
planches de sapin de 10 à 14 pieds,2,non,out,830095
planches de sapin de 10 à 15 pieds,3,non,out,830095
"planches de sapin de 10 a 16 pieds et de 1 à 1,25 pouce d'épaisseur",2,non,out,830095
planches de sapin de 10 à 18 pieds,1,non,out,830095
planches de sapin de 10 à 20 pieds,1,non,out,830095
planches de sapin de 10 aunes ?,1,non,,40499
planches de sapin de 10 pieds,67,non,out,830095
planches de sapin de 10 pieds à 20 sous,2,non,out,830095
planches de sapin de 10 pieds et 1 1/2 pouce,3,non,out,830095
planches de sapin de 11 à 12,1,non,out,830095
planches de sapin de 11 à 12 pieds,4,non,out,830095
planches de sapin de 11 à 14 pieds,1,non,out,830095
planches de sapin de 11 a 20 pieds de long et de 1 pouce d'épaisseur,1,non,out,830095
planches de sapin de 11 pieds,21,non,out,830095
planches de sapin de 12 à 13 pieds,3,non,out,830095
planches de sapin de 12 à 14 pieds,3,non,out,830095
planches de sapin de 12 à 15 pieds,4,non,out,830095
planches de sapin de 12 à 16 pieds,3,non,out,830095
planches de sapin de 12 à 18 pieds,1,non,out,830095
planches de sapin de 12 à 20 pieds,2,non,out,830095
planches de sapin de 12 pieds,56,non,out,830095
planches de sapin de 13 à 14 pieds,4,non,out,830095
"planches de sapin de 13 a 17 pieds et de 1 à 1,5 pouce d'épaisseur",2,non,out,830095
planches de sapin de 13 à 18 pieds,1,non,,40499
planches de sapin de 13 pieds,16,non,out,830095
"planches de sapin de 13 pieds et de 1,25 pouce d'épaisseur",1,non,out,830095
planches de sapin de 14 à 15 pieds,1,non,out,830095
planches de sapin de 14 à 16 pieds,3,non,out,830095
planches de sapin de 14 pieds,11,non,out,830095
planches de sapin de 14 pieds de long,1,non,,40499
planches de sapin de 14 pieds de long et de 10 de large,1,non,,40499
planches de sapin de 15 à 16 pieds,1,non,out,830095
planches de sapin de 15 a 17 pieds de long et de 1 pieds d'épaisseur,1,non,out,830095
planches de sapin de 15 à 18 pieds,3,non,,40499
planches de sapin de 15 à 20 pieds,3,non,out,830095
planches de sapin de 15 à 30 pieds,1,non,out,830095
planches de sapin de 15 pieds,23,non,out,830095
planches de sapin de 16 à 17 pieds,3,non,out,830095
planches de sapin de 16 à 18 pieds,2,non,out,830095
planches de sapin de 16 a 20 pieds et de 1 a 2 pouces d'épaisseur,2,non,out,830095
planches de sapin de 16 pieds,24,non,out,830095
planches de sapin de 17 à 18 pieds,1,non,out,830095
planches de sapin de 17 à 20 pieds,3,non,out,830095
planches de sapin de 17 pieds,2,non,out,830095
planches de sapin de 18 à 20 pieds,6,non,out,830095
planches de sapin de 18 à 21 pieds,1,non,out,830095
planches de sapin de 18 à 22 pieds,1,non,out,830095
planches de sapin de 18 pieds,58,non,out,830095
planches de sapin de 20 à 22 pieds,2,non,out,830095
planches de sapin de 20 à 24 pieds,2,non,out,830095
planches de sapin de 20 à 25 pieds,3,non,out,830095
planches de sapin de 20 à 26 pieds,1,non,out,830095
planches de sapin de 20 à 27 pieds,2,non,out,830095
planches de sapin de 20 à 30 pieds,4,non,out,830095
planches de sapin de 20 pieds,34,non,out,830095
planches de sapin de 21 à 22 pieds,2,non,out,830095
planches de sapin de 21 à 24 pieds,1,non,out,830095
planches de sapin de 21 pieds,4,non,out,830095
planches de sapin de 22 à 23 pieds,1,non,out,830095
planches de sapin de 22 pieds,20,non,out,830095
planches de sapin de 22 pieds,1,non,,40499
planches de sapin de 23 pieds,4,non,out,830095
planches de sapin de 24 à 26 pieds,1,non,out,830095
planches de sapin de 24 à 27 pieds,1,non,out,830095
planches de sapin de 24 à 30 pieds,2,non,out,830095
planches de sapin de 24 à 36 pieds,1,non,out,830095
planches de sapin de 24 pieds,22,non,out,830095
planches de sapin de 25 à 26 pieds,2,non,out,830095
planches de sapin de 25 pieds,20,non,out,830095
planches de sapin de 26 à 27 pieds,6,non,out,830095
planches de sapin de 26 à 30 pieds,1,non,out,830095
planches de sapin de 26 pieds,29,non,out,830095
planches de sapin de 27 à 28 pieds,3,non,out,830095
"planches de sapin de 27 a 28 pieds et de 1,5 pouce d'épaisseur",1,non,out,830095
planches de sapin de 27 à 29 pieds,2,non,,40499
planches de sapin de 27 à 30 pieds,4,non,out,830095
planches de sapin de 27 pieds,25,non,out,830095
planches de sapin de 28 à 29 pieds,1,non,,40499
planches de sapin de 28 à 30 pieds,5,non,out,830095
planches de sapin de 28 à 32 pieds,1,non,,40499
planches de sapin de 28 pieds,16,non,out,830095
planches de sapin de 29 à 30 pieds,1,non,out,830095
planches de sapin de 29 à 32 pieds,1,non,,40499
planches de sapin de 29 pieds,1,non,out,830095
planches de sapin de 3 à 4 pieds,9,non,out,830095
planches de sapin de 3 à 6 pieds,2,non,out,830095
planches de sapin de 3 pieds,2,non,out,830095
planches de sapin de 3/4 pouce,2,non,out,830095
planches de sapin de 30 à 32 pieds,3,non,out,830095
planches de sapin de 30 à 33 pieds,1,non,out,830095
planches de sapin de 30 à 34 pieds,3,non,out,830095
planches de sapin de 30 à 35 pieds,1,non,,40499
planches de sapin de 30 à 36 pieds,2,non,out,830095
planches de sapin de 30 à 38 pieds,1,non,out,830095
planches de sapin de 30 à 40 pieds,1,non,out,830095
planches de sapin de 30 pieds,45,non,out,830095
planches de sapin de 31 pieds,3,non,out,830095
planches de sapin de 32 à 33 pieds,3,non,out,830095
planches de sapin de 32 pieds,8,non,out,830095
planches de sapin de 33 à 34 pieds,1,non,out,830095
planches de sapin de 33 pieds,5,non,out,830095
planches de sapin de 34 à 35 pieds,1,non,,40499
planches de sapin de 34 pieds,1,non,,40499
planches de sapin de 35 pieds,4,non,out,830095
planches de sapin de 36 pieds,9,non,out,830095
planches de sapin de 38 pieds,2,non,out,830095
planches de sapin de 4 à 5 pieds,26,non,out,830095
planches de sapin de 4 à 5 pieds à 4 sous,1,non,out,830095
planches de sapin de 4 à 6 pieds,1,non,,40499
planches de sapin de 4 pieds,8,non,out,830095
planches de sapin de 4 pieds à 6 pouces,0,non,out,830095
planches de sapin de 40 pieds,5,non,out,830095
planches de sapin de 44 à 50 pieds,1,non,,40499
planches de sapin de 45 pieds,1,non,out,830095
planches de sapin de 48 pieds,3,non,out,830095
planches de sapin de 5 à 12 pieds à 1 pouce 1 pouce 1/2 d'épaisseur,1,non,out,830095
planches de sapin de 5 à 6 pieds,21,non,out,830095
planches de sapin de 5 à 6 pieds à 4 sous,1,non,out,830095
planches de sapin de 5 à 7 pieds,2,non,out,830095
planches de sapin de 5 à 8 pieds,1,non,,40499
planches de sapin de 5 pieds,12,non,out,830095
planches de sapin de 50 pieds,3,non,out,830095
planches de sapin de 6 a 10 pieds et de 1 pouce d'épaisseur,2,non,out,830095
planches de sapin de 6 à 15 pieds,1,non,out,830095
planches de sapin de 6 à 7 pieds,12,non,out,830095
planches de sapin de 6 à 8 pieds,1,non,out,830095
planches de sapin de 6 pieds,12,non,out,830095
planches de sapin de 6 pieds et de 1 pouce d'épaisseur,1,non,out,830095
"planches de sapin de 6,5 pieds",1,non,,40499
planches de sapin de 7 à 10 pieds,1,non,out,830095
planches de sapin de 7 à 12 pieds,1,non,out,830095
planches de sapin de 7 à 8 pieds,26,non,out,830095
planches de sapin de 7 à 8 pieds à 6 sous,1,non,out,830095
planches de sapin de 7 à 9 pieds,2,non,out,830095
planches de sapin de 7 pieds,14,non,out,830095
planches de sapin de 75 pieds,1,non,out,830095
planches de sapin de 8 à 10 pieds,7,non,out,830095
planches de sapin de 8 à 10 pieds à 10 sous,1,non,out,830095
planches de sapin de 8 à 11 pieds,1,non,,40499
"planches de sapin de 8 a 11 pieds et de 1 a 1,5 pouce d'épaisseur",3,non,out,830095
planches de sapin de 8 à 12 pieds,2,non,out,830095
"planches de sapin de 8 a 12 pieds et de 1 a 1,5 pouce d'épaisseur",5,non,out,830095
planches de sapin de 8 à 13 pieds,1,non,out,830095
planches de sapin de 8 à 36 pieds,1,non,,40499
planches de sapin de 8 à 7 pieds,1,non,out,830095
planches de sapin de 8 à 9 pieds,46,non,out,830095
planches de sapin de 8 à 9 pieds à 10 sous,1,non,out,830095
planches de sapin de 8 à 9 pieds à 12 sous,1,non,out,830095
planches de sapin de 8 pieds,41,non,out,830095
planches de sapin de 8 pieds à 12 sous,1,non,out,830095
"planches de sapin de 8,5 pieds",1,non,,40499
planches de sapin de 85 pieds,1,non,out,830095
planches de sapin de 9 à 10,1,non,out,830095
planches de sapin de 9 à 10 pieds,50,non,out,830095
planches de sapin de 9 à 10 pieds à 15 sous,1,non,out,830095
planches de sapin de 9 à 10-11 pieds,1,non,out,830095
planches de sapin de 9 à 11 pieds,5,non,out,830095
planches de sapin de 9 à 12 pieds,2,non,out,830095
planches de sapin de 9 à 13 pieds,1,non,out,830095
planches de sapin de 9 à 15 pieds,2,non,out,830095
planches de sapin de 9 pieds,41,non,out,830095
planches de sapin de 9 pieds de longueur,2,non,out,830095
"planches de sapin de 9 pieds et de 1,25 pouce d'épaisseur",1,non,out,830095
planches de sapin de Coperwick,0,non,out,830095
planches de sapin de Norvège,66,non,out,830095
planches de sapin de Poméranie,18,non,out,830095
planches de sapin de Prusse,0,non,out,830095
planches de sapin de rebut,6,non,out,830095
planches de sapin de rebut de 75 pieds,1,non,out,830095
planches de sapin demi planches,8,non,out,830095
planches de sapin duicroco,1,non,out,830095
planches de sapin en bouts,7,non,,40499
planches de sapin et rebut,2,non,out,830095
planches de sapin fendues,2,non,out,830095
planches de sapin grand,8,non,out,830095
planches de sapin moyennes,1,non,,40499
planches de sapin pour bordage,1,non,out,830095
planches de sapin pour grenier,5,non,out,830095
planches de sapin rebut,3,non,out,830095
planches de sapin rebut de 10 pieds,1,non,out,830095
planches de sapin rebut de 26 pieds,1,non,out,830095
planches de sapin refendues,5,non,out,830095
planches de sapin resciées,3,non,out,830095
planches de sapin rouge,2,non,out,830095
planches de sapin rouge de 9 pieds,0,non,out,830095
planches de sapin vieilles,1,non,,40499
planches de serva,1,non,out,830095
planches de Suisse,1,non,out,830095
planches de vathout,51,non,out,830095
planches de wagheschot,89,non,out,830095
planches demies,2,oui,,40499
planches dites feuillet,2,non,out,830095
planches dites feuillet et quartiers,3,non,out,830095
planches dites genoux de bateaux,32,non,out,830095
planches dites Noordschedelen de 11 à 12 pieds,2,non,out,830095
planches dites Noordschedelen de 15 à 16 pieds,3,non,out,830095
planches du Danemark,3,non,out,830095
planches en faux,2,non,out,830095
planches en lest,1,non,,40499
planches en poutres,2,non,out,830095
planches et poutrelles de bois de passementerie,3,non,out,830095
planches et rouleau en laiton,1,non,,40499
planches fendues,1,non,out,830095
planches laquées,1,non,out,830095
planches lourdes,64,non,out,830095
planches moyennes,1,non,out,830095
planches petites,3,non,out,830095
planches petites de sapin,12,non,out,830095
planches pour faux,1,non,out,830095
planches pour grenier,5,non,out,830095
planches pour grenier de 16 pieds,1,non,,40499
planches pour grenier de 18 pieds,1,non,,40499
planches pour grenier de 27 pieds,1,non,,40499
planches pour grenier de 30 pieds,1,non,,40499
planches pour grenier de 34 pieds,1,non,,40499
planches pour grenier de 36 pieds,1,non,,40499
planches refendues,2,non,out,830095
planches sciées,8,non,out,830095
planches sciées de long,7,non,out,830095
plançons,5,non,out,830095
plançons courbes,1,non,out,830095
plançons de chêne,2,non,out,830095
plantes d'asperges et jets de houblon,6,non,out,830095
plantes de jasmin,5,non,out,830095
plantes de romarin,24,non,out,830095
plantes diverses,22,non,out,830095
plantes herbes racines etc.,23,non,out,830095
plants ???,1,non,out,830095
plants d'arbres,49,non,out,830095
plants d'arbres à fruits,3,non,out,830095
plants d'argent,1,non,out,830095
plants d'artichauts,2,non,out,830095
plants d'asperges,23,non,out,830095
plants d'oignon,3,non,out,830095
plants d'oignons,1,non,out,830095
plants d'oranger,60,non,out,830095
plants de bois,1,non,out,830095
plants de bois sauvages,1,non,out,830095
plants de cédrat,3,non,out,830095
plants de chinois et fleurs,1,non,out,830095
plants de choux,2,non,out,830095
plants de citronnier,8,non,out,830095
plants de fleurs,31,non,out,830095
plants de jardin,2,non,out,830095
plants de jasmin,9,non,out,830095
plants de mûriers,22,non,out,830095
plants de rouge d'Espagne,1,non,out,830095
plants de tabac,5,non,out,830095
plants de vigne,103,non,out,830095
plaques,955,non,out,830095
plaques de bois,1,non,out,830095
plaques de cheminée,5,non,out,830095
plaques de cheminées en fer,4,non,out,830095
plaques de cornes,1,non,out,830095
plaques de cuivre,45,non,out,830095
plaques de cuivre rouge,2,non,out,830095
plaques de fer,58,non,out,830095
plaques de fer battu,1,non,out,830095
plaques de fer de fonte,2,non,out,830095
plaques de four,1,non,out,830095
plaques en tôle,1,non,out,830095
plaques et ouvrages de cuivre,9,non,,40499
plastic de soie,1,non,,40499
plat de grès,17,non,out,830095
plat de terre anglais,1,non,,40499
plateaux,4,non,out,830095
plateaux argentés,1,non,out,830095
plateaux de bois,3,non,out,830095
plateaux de bois pour peser,1,non,out,830095
plateaux de bordure de cuivre,1,non,out,830095
plateaux de cuivre,3,non,out,830095
plateaux de fer,1,non,out,830095
plateaux de fer vernis,2,non,out,830095
plateaux de noyer,1,non,out,830095
plateaux pour fléaux,1,non,out,830095
plateaux vernis,1,non,out,830095
plateaux vernis et de cote,1,non,out,830095
plates de cuivre,11,non,out,830095
plates de cuivre ciselées et gravées,2,non,out,830095
plates de cuivre jaune,23,non,out,830095
plates de cuivre rouge,87,non,out,830095
plates de fer,20,non,out,830095
platies,2,non,out,830095
platille,348,non,out,830095
platille de lin,7,non,out,830095
platille de lin de Silésie,3,non,out,830095
platille de retour,1,non,,40499
platille de retour faute de vente,1,oui,out,830095
platille des Indes,6,non,out,830095
platille pour Guinée,1,non,out,830095
platille roussie,1,non,out,830095
platines,4,non,out,830095
platines à cassave,13,non,out,830095
platines à verdet,1,non,out,830095
platines de cuivre,108,non,out,830095
platines de cuivre et plaques de cuivre,0,non,out,830095
platines de fer,11,non,out,830095
platines de fer coulé de fonte,1,non,out,830095
platines de fer-blanc,1,non,out,830095
platines de ferrure,2,non,out,830095
platines de fusils,11,non,out,830095
platines en lingots,2,non,out,830095
platines minerai,1,non,out,830095
platon,1,non,,40499
plâtre,565,non,out,830095
plâtre brut,1,non,out,830095
plâtre calciné ou brut,2,non,out,830095
plâtre calciné ou moulé préparé,2,non,out,830095
plâtre calciné ou moulé soit préparé,4,non,out,830095
plâtre de pierres,2,non,out,830095
plâtre et pierres ditto,118,non,out,830095
plâtre et pierres ditto par livre,10,non,out,830095
plâtre gris,2,non,out,830095
plâtre moulu,2,non,out,830095
plâtre moulu soit préparé,1,non,out,830095
plats d'étain,3,non,,40499
plats de boire,1,non,out,830095
plats de bois,8,non,out,830095
plats de d'étain,1,non,out,830095
plats de faïence,1,non,out,830095
plats de fer,15,non,out,830095
plats de sapin,1,non,out,830095
plats et pots d'étain,1,non,out,830095
plawens,4,non,out,830095
plawens ou codde,11,non,out,830095
plesny,1,non,out,830095
pleviers,2,non,out,830095
plies sèches,4,non,out,830095
plocq,106,non,out,830095
plomb,490,non,out,830095
plomb à gibier,8,non,out,830095
plomb à tirer,2,oui,out,830095
plomb argenté,1,non,out,830095
plomb battu ou laminé,7,non,out,830095
plomb brut,15,non,out,830095
plomb brut en pain,1,non,out,830095
plomb de caisse de thé,1,non,out,830095
plomb de chasse,79,non,out,830095
plomb de cuivre battu,4,non,out,830095
plomb de pêche,1,non,out,830095
plomb de soude,1,oui,out,830095
plomb de soudes,1,non,,40499
plomb de toutes sortes,7,oui,,40499
plomb divers,30,oui,out,830095
plomb en barre,22,oui,out,830095
plomb en barres,23,non,,40499
plomb en bloc,127,non,out,830095
plomb en feuilles,5,non,out,830095
plomb en grenaille,986,non,out,830095
plomb en lingot,8,non,out,830095
plomb en masse,1,non,out,830095
plomb en pain,27,non,out,830095
plomb en plaque,18,non,out,830095
plomb en poids,2,non,out,830095
plomb en rolles et travaillé,128,non,out,830095
plomb en rouleau,111,non,out,830095
plomb en rouleau et en tables,2,non,out,830095
plomb en rouleau lingots,4,non,out,830095
plomb en rouleau lingots etc.,2,non,out,830095
plomb en rouleau lingots tables,1,non,out,830095
plomb en saumon,1368,non,out,830095
plomb en saumon d'Allemagne,2,non,out,830095
plomb en saumon et grenaille,9,non,,40499
plomb en saumon et rouleau,6,non,,40499
plomb en saumon et table,6,non,,40499
plomb en saumon pour grenaille,1,non,,40499
plomb en saumon pour table,3,non,,40499
plomb en saumon rouleau,2,oui,,40499
plomb en saumon salé,1,non,,40499
plomb et toutenague,93,non,out,830095
plomb giboyer,1,oui,out,830095
plomb laminé,49,non,out,830095
plomb laminé rouleau,1,non,out,830095
plomb pour filets à pêcher,1,non,out,830095
plomb sable,0,non,out,830095
plomb thé,1,non,out,830095
plomb tuyaux d'orgues,2,non,out,830095
plomb vieux,34,non,out,830095
plombagine,4,non,out,830095
plumes,223,non,out,830095
plumes à cure-dents,15,non,out,830095
plumes à écrire,757,non,out,830095
plumes à écrire d'oie,3,non,out,830095
plumes à écrire et à lit,164,non,out,830095
plumes à écrire et à lit duvet et édredon,15,non,out,830095
plumes à écrire non travaillées,2,non,out,830095
plumes à lit,534,non,out,830095
plumes à lit brutes,1,non,out,830095
plumes à lit vives,119,non,out,830095
plumes à manchon,10,non,out,830095
plumes à phants,1,non,out,830095
plumes à plumet,1,non,out,830095
plumes à volant,14,non,out,830095
plumes apprêtées,3,non,out,830095
plumes apprêtées à écrire,19,non,out,830095
plumes apprêtées blanches de parure,2,non,out,830095
plumes apprêtées blanches grandes de parure,2,non,out,830095
plumes apprêtées d'autruche,362,non,out,830095
plumes apprêtées de coq,1,non,out,830095
plumes apprêtées de parure,2,non,out,830095
plumes apprêtées grandes de parure,2,non,out,830095
plumes apprêtées noires de parure,4,non,out,830095
plumes apprêtées petites de parure,2,non,out,830095
plumes blanches brutes de parure,2,non,out,830095
plumes blanches brutes grandes de parure,2,non,out,830095
plumes brutes,3,non,out,830095
plumes brutes à écrire,24,non,out,830095
plumes brutes à genice,4,non,out,830095
plumes brutes de parure,28,non,out,830095
plumes brutes grandes de parure,3,non,out,830095
plumes brutes noires de parure,4,non,out,830095
plumes brutes petites de parure,3,non,out,830095
plumes communes à lit,1,non,out,830095
plumes cordons gris et jaunes et rouges et à écrire,6,non,out,830095
plumes cordons jaunes à écrire,3,non,out,830095
plumes cordons rouges à écrire,3,non,out,830095
plumes d'aigledon,31,non,out,830095
plumes d'aiglon,5,non,out,830095
plumes d'aiglon en édredon,2,non,,40499
plumes d'autruche,203,non,out,830095
plumes d'autruche à écrire,1,non,out,830095
plumes d'autruche blanches,2,non,out,830095
plumes d'autruche brutes,184,non,out,830095
plumes d'autruche crues,35,non,out,830095
plumes d'autruche crues et noires,1,non,out,830095
plumes d'autruche et autres de parure,66,non,out,830095
plumes d'autruche et de vautour,11,non,out,830095
plumes d'autruche noires,2,non,out,830095
plumes d'édredon,25,non,out,830095
plumes d'oie,141,non,out,830095
plumes d'oie à lit,4,non,out,830095
plumes d'oiseaux,1,non,out,830095
plumes de coq,4,non,out,830095
plumes de duvet,3,non,,40499
plumes de lin,57,oui,out,830095
plumes de lit,57,non,,40499
plumes de poule,50,non,out,830095
plumes de soie,1,non,out,830095
plumes duvet,3,oui,out,830095
plumes en ???,1,non,out,830095
plumes idem,1,non,out,830095
plumes mortes,82,non,out,830095
plumes mortes à lit,2,non,out,830095
plumes noire,3,non,out,830095
plumes pour dévidoir,1,non,out,830095
plumes pour duvet,3,non,out,830095
plumes teintes,2,non,out,830095
plumes vives,2,non,out,830095
plumes vives à lit,2,non,out,830095
plumets,10,non,out,830095
plumets pour chapeaux,112,non,out,830095
plus,1,non,,40499
pluviers,1,non,out,830095
poches de peau,1,non,out,830095
poêles,4,non,out,830095
poêles à chaudron de fer,1,non,out,830095
poêles à chauffer,3,non,out,830095
poêles à feu,40,non,out,830095
poêles à frire,142,non,out,830095
poêles à frire de fer,167,non,out,830095
poêles à frire de fer battu,1,non,out,830095
poêles d'airain,1,non,out,830095
poêles de faïence,5,non,out,830095
poêles de fer,67,non,out,830095
poêles de fer à feu,4,non,out,830095
poêles de fer de fonte,1,non,out,830095
poêles de fer et leurs tuyaux,2,non,out,830095
poêles de fer pesant 600 livres,1,non,,40499
poêles de feu à frire,1,non,out,830095
poêles de terre,1,non,out,830095
poêlons de cuivre,2,non,out,830095
poêlons de cuivre jaune,1,non,,40499
poêlons de fer,1,non,out,830095
poids,9,non,out,830095
poids à peser,2,non,out,830095
poids de 28 ??? de Hollande,1,non,,40499
poids de fer,166,non,out,830095
poids de fer de fonte,1,non,out,830095
poids de fonde,1,non,out,830095
poids de plomb,1,non,out,830095
poignards et sabres de traite,1,non,out,830095
poignées d'épée d'argent,1,non,out,830095
poignées pour sabres,3,non,out,830095
poignets de chemise,3,non,out,830095
poil,140,non,out,830095
poil blanc,1,non,out,830095
poil brossiers et rognures,1,oui,out,830095
poil d'autruche en laine pour faire lisière,1,non,out,830095
poil d'élan et de lièvre,1,non,out,830095
poil d'Espagne d'argent,1,non,out,830095
poil de ???,1,non,out,830095
poil de bœuf,22,non,out,830095
poil de bœuf c'est de la laine,1,non,out,830095
poil de bœuf et de vache,6,non,out,830095
poil de bouc,2,non,out,830095
poil de carton,1,non,out,830095
poil de castor,44,non,out,830095
poil de castor et d'élan,2,non,out,830095
poil de chameau,111,non,out,830095
poil de chameau et de chèvre,49,non,out,830095
poil de chameau et de chèvre et de lièvre,13,non,out,830095
poil de chameau et de lièvre,4,non,out,830095
poil de cheval,1,non,out,830095
poil de chèvre,238,non,out,830095
poil de chèvre et de lapin et de lièvre,200,non,out,830095
poil de chèvre non filé,2,non,out,830095
poil de chèvre simple,22,non,out,830095
poil de chevreau,8,non,out,830095
poil de chevrotin,36,non,out,830095
poil de cochon,1,non,out,830095
poil de coton,1,non,out,830095
poil de laine,4,non,out,830095
poil de lapin,201,non,out,830095
poil de lapin et de lièvre,93,non,out,830095
poil de lièvre,37,non,out,830095
poil de loup,1,non,out,830095
poil de porcs,6,non,out,830095
poil de porcs et poil de sanglier,86,non,out,830095
poil de sanglier,108,non,out,830095
poil de vache,4,non,out,830095
poil et cheveux,40,non,out,830095
poil pour doublage,1,non,out,830095
poil propre à la chapellerie et à la filature,4,non,out,830095
poinade,2,non,out,830095
poinçon neuf et vide,1,non,out,830095
point d'argent et d'or,1,non,out,830095
point d'Espagne,1,non,out,830095
point d'Espagne d'argent,1,non,out,830095
point d'Espagne d'argent et d'or,3,non,out,830095
