numrodeligne,dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
342,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,7,1726,Import,Mecocan,Marseille,Levant,"43,00",livres,"2,5000000","107,50","0,00",
343,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,7,1726,Import,Noix vomiques,Marseille,Levant,"50,00",livres,"0,1800000","9,00","0,00",
344,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,7,1726,Import,Opium,Marseille,Levant,"14,00",livres,"4,0000000","56,00","0,00",
345,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,7,1726,Import,Peaux de marroquin,Marseille,Levant,"118,50",douzaines,"20,0000000","2370,00","0,00",
346,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,7,1726,Import,Peaux de marroquin,Marseille,Levant,"25,00",livres,"0,6000000","15,00","0,00",
347,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,7,1726,Import,Peaux de veau en poil,Marseille,Levant,"64,00",douzaines,"7,0000000","448,00","0,00",
348,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,7,1726,Import,Peaux de veau en poil,Marseille,Levant,"8 850,00",livres,"0,1500000","1327,50","0,00",
349,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,7,1726,Import,Peaux seches,Marseille,Levant,"14 890,00",livres,"0,1800000","2680,20","0,00",
350,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,7,1726,Import,Peaux de chagrin,Marseille,Levant,"491,00",en nombre,"3,0000000","1473,00","0,00",
351,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,7,1726,Import,Plumes d'autruche brute,Marseille,Levant,"2 452,00",livres,"3,0000000","7356,00","0,00",
352,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,7,1726,Import,Poil de chameau,Marseille,Levant,"58 440,00",livres,"1,0000000","58440,00","0,00",
353,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,7,1726,Import,Poil de chevre ,Marseille,Levant,"129 700,00",livres,"3,0000000","389100,00","0,00",
354,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,7,1726,Import,Pierres ponce,Marseille,Levant,"1 575,00",livres,"0,0150000","23,60","-0,03",
355,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,7,1726,Import,Rubarbe,Marseille,Levant,"890,50",livres,"85,0000000","75692,50","0,00",
356,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,7,1726,Import,Sené,Marseille,Levant,"18 930,00",livres,"1,0000000","18930,00","0,00",
357,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,7,1726,Import,Sené en grabeau,Marseille,Levant,"2 490,00",livres,"0,3000000","747,00","0,00",
358,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,7,1726,Import,Scamonée,Marseille,Levant,"1 252,00",livres,"9,0000000","11268,00","0,00",
359,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,7,1726,Import,Semen contra,Marseille,Levant,"1 130,00",livres,"4,0000000","4520,00","0,00",
360,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,7,1726,Import,Salsepareille,Marseille,Levant,"270,00",livres,"1,5000000","405,00","0,00",
361,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,7,1726,Import,Squine,Marseille,Levant,"84,00",livres,"1,5000000","126,00","0,00",
362,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,7,1726,Import,Sebestes,Marseille,Levant,"550,00",livres,"0,3000000","165,00","0,00",
363,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,7,1726,Import,Sel armoniac,Marseille,Levant,"2 130,00",livres,"0,8000000","1704,00","0,00",
364,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,7,1726,Import,Storax,Marseille,Levant,"656,00",livres,"1,8000000","1180,80","0,00",
365,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,7,1726,Import,Sandarac,Marseille,Levant,"65,00",livres,"0,2000000","13,00","0,00",
366,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,7,1726,Import,Safranon,Marseille,Levant,"197 880,00",livres,"0,5000000","98940,00","0,00",
367,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,7,1726,Import,Soyes crües,Marseille,Levant,"63 558,00",livres,"8,0000000","508464,00","0,00",
368,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,7,1726,Import,Tabac en costes,Marseille,Levant,"83 540,00",livres,"0,2500000","20885,00","0,00",
369,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,7,1726,Import,Tamarins,Marseille,Levant,"1 670,00",livres,"0,4000000","668,00","0,00",
370,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,7,1726,Import,Terra merita,Marseille,Levant,"205,00",livres,"0,3600000","73,80","0,00",
371,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,7,1726,Import,Turbit,Marseille,Levant,"110,00",livres,"2,0000000","220,00","0,00",
372,Hasna,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726,Local,7,1726,Import,Vitriol de chypre,Marseille,Levant,"1 000,00",livres,"0,7500000","750,00","0,00",
